,number_of_reviews,user_ratings,Star_Rating,Family_rooms,Non_Smoking_Rooms,bar,Heating,Lifts,Single_Bed,price,Breakfast Cuisine1,review_score_numeric,Birmingham,Dubai,Kuala Lumpur,London,Manchester,Melbourne,New Delhi,Paris,Sydney,Tokyo,Toronto
1166,8.75115798136203,8.6,4,1,1,1,1,1,0,9.176162920174596,1,8,1,0,0,0,0,0,0,0,0,0,0
1167,2.4849066497880004,7.8,3,1,1,1,0,0,1,8.765458531504226,0,6,1,0,0,0,0,0,0,0,0,0,0
1168,8.07246736935477,8.8,4,1,1,1,1,1,1,9.016755622903517,1,8,1,0,0,0,0,0,0,0,0,0,0
1169,7.627057417018934,7.5,4,1,1,1,1,0,1,8.777401286867264,1,6,1,0,0,0,0,0,0,0,0,0,0
1170,7.897296472595885,8.9,3,0,1,0,1,1,0,9.112065802707843,1,8,1,0,0,0,0,0,0,0,0,0,0
1171,8.607947554684701,8.1,4,1,1,1,1,1,1,9.197052477649247,1,7,1,0,0,0,0,0,0,0,0,0,0
1172,4.127134385045092,8.3,4,1,1,0,1,1,1,10.317648079011516,0,7,1,0,0,0,0,0,0,0,0,0,0
1173,8.067462667010057,7.6,4,1,1,1,1,0,1,8.560061091643414,1,6,1,0,0,0,0,0,0,0,0,0,0
1174,7.138866999945524,6.9,3,1,1,1,1,0,1,8.591186871324563,1,5,1,0,0,0,0,0,0,0,0,0,0
1175,8.336390480591552,8.0,3,1,1,1,1,1,1,9.241063544619024,1,7,1,0,0,0,0,0,0,0,0,0,0
