sno,Hotel_Name,wifi_box,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast Cuisine1,Breakfast Cuisine2,Breakfast Cuisine3
157,The Millennials Shibuya,yes,no,yes,no,no,yes,yes,Vegetarian,no,no
158,Henn na Hotel Tokyo Ginza,yes,no,yes,no,yes,yes,yes,Continental,no,no
159,Keio Plaza Hotel Tokyo Premier Grand,yes,yes,yes,yes,yes,yes,yes,American,no,no
160,Candeo Hotels Tokyo Roppongi,yes,no,yes,no,no,yes,yes,no,no,no
161,Grand Prince Hotel Takanawa Hanakohro,yes,no,yes,yes,yes,yes,yes,Asian,no,no
162,Hotel New Otani Tokyo Garden Tower,yes,yes,yes,no,yes,yes,yes,Continental, American,no
163,Daiwa Roynet Hotel Tokyo Akabane,yes,no,yes,no,no,yes,yes,Asian, American,no
164,Hotel Lumiere Nishikasai,yes,no,yes,no,no,yes,yes,American,no,no
165,Hotel Chinzanso Tokyo,yes,yes,yes,no,yes,yes,yes,American,no,no
166,"Mandarin Oriental, Tokyo",no,no,yes,yes,yes,yes,yes,Continental, Full English/Irish, Gluten-free
167,Royal Park Hotel,no,no,yes,yes,yes,yes,yes,Continental, American,no
168,Akihabara Washington Hotel,yes,no,yes,no,no,no,yes,no,no,no
169,Hotel Gracery Ginza,yes,no,yes,no,no,yes,yes,no,no,no
170,Hotel Gracery Shinjuku,yes,no,yes,no,no,yes,yes,Continental, Asian, American
171,Hotel East 21 Tokyo,yes,no,yes,yes,yes,yes,yes,no,no,no
172,Keisei Richmond Hotel Tokyo Kinshicho,yes,no,yes,no,no,yes,yes,no,no,no
173,Sakura Cross Hotel Ueno Iriya Annex,yes,no,yes,no,no,yes,yes,no,no,no
174,Hotel Oriental Express Tokyo Kamata,yes,no,yes,no,no,yes,yes,American,no,no
175,OTHER SPACE Hotelー HOTEL K3 asakusaー,yes,yes,yes,no,yes,yes,yes,no,no,no
176,Shiinamachi house,yes,no,yes,no,no,yes,no,no,no,no
177,Sakura Hotel Nippori,yes,no,yes,no,yes,yes,yes,Continental,no,no
178,Palo Nagasaki,no,no,yes,no,no,yes,no,no,no,no
179,ホテルロイヤルオーク五反田,yes,no,yes,no,no,yes,no,no,no,no
180,APA Hotel Kanda-Eki Higashi,yes,no,yes,no,no,yes,yes,no,no,no
181,Villa Fontaine Grand Tokyo Ariake,yes,yes,yes,no,no,yes,yes,no,no,no
182,Imano Tokyo Ginza Hostel,yes,no,yes,no,no,yes,yes,no,no,no
183,HOTEL KABUKI,yes,no,yes,no,no,yes,yes,no,no,no
184,nine hours Ningyocho,yes,no,yes,no,no,yes,yes,Breakfast to go,no,no
185,Anshin Oyado Shinbashi Shiodome-Male only,yes,no,yes,no,no,no,yes,Asian,no,no
186,Tokyo Bay Ariake Washington Hotel,no,yes,yes,no,no,yes,yes,no,no,no
187,Hotel Villa Fontaine Tokyo-Hamamatsucho,no,no,yes,no,no,yes,yes,no,no,no
188,Dormy Inn Akihabara,yes,no,yes,no,no,yes,yes,Asian,no,no
189,APA Hotel Asakusa Tawaramachi Ekimae,yes,no,yes,no,no,yes,yes,Continental,no,no
190,The Royal Park Hotel Tokyo Haneda Airport Terminal 3,yes,yes,yes,no,yes,yes,yes,no,no,no
191,Hotel Famy Inn Kinshicho,yes,no,yes,no,no,no,yes,Continental,no,no
192,APA Hotel Asakusa Ekimae,yes,no,yes,no,no,yes,yes,no,no,no
193,Toyoko Inn Tokyo Shinagawa Konan-guchi Tennozu Isle,yes,yes,yes,no,no,yes,yes,Buffet,no,no
194,レジデンシャルステージ東新宿,yes,no,no,no,no,yes,no,no,no,no
195,Toyoko Inn Tokyo Keihin Tohoku sen Oji eki Kita guchi,yes,no,yes,no,no,yes,yes,Asian, American,no
196,APA Hotel - Higashishinjuku Kabukicho Higashi,yes,no,yes,no,no,yes,yes,Asian,no,no
197,Sotetsu Fresa Inn Ochanomizu Jimbocho,yes,yes,yes,no,no,yes,yes,Continental,no,no
