sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
126,APA Hotel Sugamo Ekimae,Tokyo,"170-0002 Tokyo-to, Toshima-ku, Sugamo 2-9-7, Japan",2503,8.0,4,Very good
127,KOKO HOTEL Residence Asakusa Kappabashi,Tokyo,"111-0035 Tokyo-to, Taito-ku Nishi Asakusa 3-24-2, Japan",568,9.1,4,Superb
128,KOKO HOTEL Residence Asakusa Tawaramachi,Tokyo,"111-0042 Tokyo-to, Taito-ku, Kotobuki 2-8-12, Japan",487,9.2,4,Superb
129,MIMARU Tokyo KINSHICHO,Tokyo,"130-0022 Tokyo-to, Sumida-ku Kotobashi 4-11-5, Japan",585,9.1,4,Superb
130,Hotel GrandBach Tokyo Ginza,Tokyo,"104-0061 Tokyo-to, Chuo-ku Ginza 5-13-12, Japan",2186,8.9,4,Fabulous
131,MONday Apart Premium UENO OKACHIMACHI,Tokyo,"110-0005 Tokyo-to, Taito-ku Ueno 3-8-8, Japan",408,8.9,3,Fabulous
132,Minn Akihabara,Tokyo,"110-0016 Tokyo-to, Taito-ku Taito 1-22-3, Japan",610,8.5,4,Very good
133,MONday Apart Akihabara Southeast,Tokyo,"111-0053 Tokyo-to, Taito-ku 4-15-5 Asakusabashi, Japan",203,8.7,3,Fabulous
134,Minn Kasai,Tokyo,"134-0083 Tokyo-to, Edogawa-ku Nakakasai 3-32-13, Japan",830,8.3,4,Very good
135,MONday Apart Premium 銀座新富町,Tokyo,"104-0042 Tokyo-to, Chuo-ku, Irifune 3-4-1, Japan",379,8.7,4,Fabulous
136,MONday Apart Premium UENO,Tokyo,"110-0014 Tokyo-to, Taito-ku Kita-Ueno 1-7-6, Japan",640,8.6,3,Fabulous
137,MUSTARD HOTEL SHIMOKITAZAWA,Tokyo,"155-0031 Tokyo-to, Setagaya-ku Kitazawa 3-9, Japan",1666,8.3,4,Very good
138,MONday Apart Premium AKIHABARA,Tokyo,"101-0025 Tokyo-to, 4-5 Sakuma-cho, Kanda, Chiyoda-ku, Japan",516,8.9,4,Fabulous
139,MONday Apart Premium AKIHABARA ASAKUSABASHI Sta.,Tokyo,"111-0053 Tokyo-to, 1-5-2 Asakusabashi, Taito-ku, Japan",414,9.1,3,Superb
140,Pangoo品川,Tokyo,"108-0074 Tokyo-to, 港区高輪4-6-10, Japan",348,7.9,4,Good
141,MONday Apart 日本橋水天宮前,Tokyo,"103-0014 Tokyo-to, Chuo-ku Nihonbashikakigara-cho 1-34-5, Japan",188,8.8,3,Fabulous
142,Minn Nishi-Kasai,Tokyo,"134-0088 Tokyo-to, Edogawa-ku Nishikasai 3-13-17, Japan",788,8.6,4,Fabulous
143,MONday Apart Premium 日本橋,Tokyo,"103-0023 Tokyo-to, Chuo-ku Nihonbashihoncho 4-1-5 , Japan",598,8.9,4,Fabulous
