sno,Hotel_Name,Room_type,Single_Bed,Double_bed,price
231,Hotel Amanek Asakusa Ekimae,Standard Double Room,single bed,double bed,7344
232,Domo Hotel,Standard Twin Room,single bed,,10077
233,Dormy Inn Korakuen,Double Room with Small Double Bed,single bed,double bed,13195
234,Rihga Royal Hotel Tokyo,Luxury Twin Room with Late Check-in 18:00 and Early Check-out 10:00 - Non-Smoking,single bed,double bed,8933
235,APA Hotel Kanda Ekimae,Double Room - Non-Smoking,single bed,double bed,7738
236,APA Hotel Asakusa Kaminarimon,Double Room - Non-Smoking,single bed,double bed,6476
237,COGO Ryogoku,Economy Quadruple Room,single bed,,7073
238,APA Hotel Ginza Kyobashi Tokyo-Eki Yaesu Minami-guchi,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,9212
239,Sotetsu Fresa Inn Kanda-Otemachi,Small Double Room - Non-Smoking,single bed,,8821
240,Onyado Nono Asakusa Natural Hot Spring,Standard Double Room,single bed,double bed,17202
241,Oak Hotel Edo,Double Room with Balcony,single bed,double bed,6141
242,Shinagawa Prince Hotel,Main Tower 6th-16th Floor Twin Room - Non-Smoking,single bed,double bed,16816
243,Miyako Shinjuku Hotel 都-新宿-,Twin Room,,double bed,5128
244,&AND HOSTEL MINAMISENJU,Economy Double Room,,double bed,4368
245,Fujiterrace Yoga,One-Bedroom Apartment,,double bed,4150
246,Asakusa Hotel Hatago,Economy Double Room With Small Double Bed - Non Smoking,single bed,double bed,6364
247,APA Hotel Asakusa Kaminarimon Minami,Standard Double Room,single bed,double bed,6476
248,Lucky Hostel,Economy Triple Room,single bed,double bed,3685
249,the b shimbashi toranomon,Standard Double Room - Non-Smoking,single bed,double bed,11361
250,Premier Hotel Cabin Shinjuku,Renovated Double Room with Small Double Bed - Non-Smoking,single bed,double bed,8622
251,Ginza Capital Hotel Moegi,Standard Twin Room - Non Smoking,single bed,double bed,10741
252,Andon Ryokan,Japanese-Style Double Room with Shared Bathroom,single bed,,6215
253,APA Hotel & Resort Tokyo Bay Shiomi,Double Room with Small Double Bed - Non-Smoking,single bed,,6476
254,HOTEL MYSTAYS Ueno East,Standard Double Room - Non-Smoking,single bed,double bed,5834
255,Ueno正和ビル,Two-Bedroom Apartment,single bed,,11724
256,Sotetsu Fresa Inn Tokyo-Toyocho,Standard Double Room - Non-Smoking,single bed,double bed,8110
257,APA Hotel Ningyocho-eki Kita,Double Room with Small Double Bed - Smoking,single bed,double bed,6381
258,JR-East Hotel Mets Komagome,Single Room (2 Adult) - Non-Smoking,single bed,double bed,5682
259,Hotel Route-Inn Grand Tokyo Asakusabashi,Double Room - Non-Smoking,single bed,double bed,7704
260,Toyoko Inn Tokyo Ikebukuro Kita guchi No 2,Economy Double Room - Smoking,single bed,double bed,5862
261,Toyoko Inn Tokyo Uguisudani Ekimae,Economy Double Room - Smoking,single bed,double bed,6155
262,nestay inn tokyo senju,Twin Room,single bed,,3768
263,APA Hotel Ginza-Takaracho Tokyo Yaesu Minami-guchi,Double Room with Small Double Bed - Non-Smoking,single bed,double bed,8598
264,Citadines Central Shinjuku Tokyo,Double Room,single bed,double bed,14591
265,Hotel Metropolitan Edmont Tokyo,"Standard Room, 1 Double Bed(Small Double)",single bed,double bed,10384
266,Daiwa Roynet Hotel Tokyo Osaki,Standard Double Room - Smoking,single bed,double bed,10784
267,Ginza Grand Hotel,Room Selected at Check-In - Double Use,single bed,double bed,14188
268,Laluna Higashiikebukuro,One-Bedroom Apartment,,double bed,4195
269,Ryokan Kamogawa Asakusa,Japanese-Style Economy Room,single bed,,13957
270,the b akasaka-mitsuke,Modern Superior Double Room - Non-Smoking,single bed,double bed,12282
271,Apartment Hotel Shinjuku,Double Room with Small Double Bed,single bed,double bed,6364
272,APA Hotel Kodemmacho-ekimae,Double Room - Smoking,single bed,double bed,6381
273,Hotel New Tohoku,Double Room with Small Double Bed - No Elevator,single bed,double bed,5527
274,Sakura Ryokan Asakusa Iriya,Japanese-Style Triple Room with Shared Toilet - Non-Smoking,single bed,double bed,6940
275,Super Hotel Asakusa,Double Room - Non-Smoking,single bed,double bed,7023
