Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Town Place Apartment at Times Square,yes,"Berjaya Times Square east Box no A22-17. No 1. Jalan Imbi, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",6 reviews,10,5 out of 5,Exceptional,no,no,no,Bar,no,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 3,521"
UNIQUE SUITE AT TIMES SQUARE KL,yes,"1 Jalan Imbi A-26-14, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",72 reviews,7.6,4 out of 5,Good,yes,yes,no,NA,no,yes,NA,single bed,double bed,Studio Apartment,"₹ 2,850"
Eaton KLCC Suites By Elite,yes,"26 Jalan Kia Peng, 50450 Kuala Lumpur, Malaysia",70 reviews,9.2,5 out of 5,Superb,yes,yes,no,NA,yes,yes,NA,NA,double bed,One-Bedroom Apartment,"₹ 5,732"
KL Rosemary Apartment at Times Square,yes,"Berjaya times square east,1, jalan imbi , bukit bintang, Kuala Lumpur, malasiya B-32-17, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",70 reviews,8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,One-Bedroom Apartment,"₹ 3,280"
The platinum klcc by Infinity pool,yes,"1020, the face suite, jalan sultan ismail, 50250 Kuala Lumpur, Malaysia",15 reviews,8.5,3 out of 5,Very good,yes,yes,no,Bar,no,no,NA,single bed,double bed,One-Bedroom Apartment,"₹ 4,094"
ibis Kuala Lumpur City Centre,yes,"32 Jalan Yap Kwan Seng, 50450 Kuala Lumpur, Malaysia","3,683 reviews",7.9,4 out of 5,Good,yes,yes,no,Bar,no,yes,"Continental, Vegetarian, Vegan, Halal, Asian, American",single bed,double bed,Standard Queen Room,"₹ 4,188"
"The Elements service apartment, Jalan Ampang",yes,"Jalan Bemban, 55000 Kuala Lumpur, Malaysia",4 reviews,7.8,5 out of 5,Good,yes,yes,no,Bar,no,yes,NA,NA,double bed,Double Room with Shared Bathroom,"₹ 2,402"
Marmaid Suite At Barjaya Time Square KL,yes,"Barjaya Time Square East Wing, Suite A30-13 No 1 jalan imbi, Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Malaysia",1 review,10,4 out of 5,Exceptional,no,no,no,Bar,no,no,NA,single bed,double bed,Deluxe King Suite,"₹ 3,981"
The Platinum 2 Kuala Lumpur by HOLMA,yes,"1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Malaysia",579 reviews,8.8,4 out of 5,Fabulous,yes,no,no,NA,no,yes,NA,NA,double bed,Deluxe Twin Room,"₹ 9,244"
Komune Living,yes,"No. 20 Jalan Kerinchi Kiri 3, 59200 Kuala Lumpur, Malaysia","7,372 reviews",8.1,3 out of 5,Very good,yes,yes,no,NA,no,yes,"Continental, Vegetarian, Halal, Asian, American",single bed,double bed,Thinker Studio Two,"₹ 2,704"
