Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
OYO Hotel Dream,no,"309/17C Lal Kaun  Opposite HDFC ATM, Delhi, 110044 New Delhi, India",27 reviews,6.3,2 out of 5,Pleasant,no,no,no,NA,no,yes,Continental,NA,double bed,Classic Triple Room,"₹ 1,131"
Iris Park Hotel New Delhi,no,"A-1/23 & 24, Safdarjung Enclave, New Delhi, Safdarjung Enclave, 110029 New Delhi, India",27 reviews,6.9,3 out of 5,Pleasant,no,no,no,NA,no,no,NA,single bed,double bed,Budget Double or Twin Room,"₹ 5,500"
"Udman Panchshila Park by Ferns N Petals, South Delhi",yes,"N-82 Block N  Panchsheel Park North Panchsheel Park , 110017 New Delhi, India",235 reviews,8.0,3 out of 5,Very good,yes,yes,no,NA,yes,yes,"Continental, Vegetarian, American",NA,double bed,Superior Double Room,"₹ 5,999"
Hotel Sun Village Near New Delhi Railway Station,yes,"2508/12, Nalwa Street, Chuna Mandi, Paharganj , Behind Imperial Cinema, Paharganj, 110055 New Delhi, India",306 reviews,6.9,3 out of 5,Pleasant,yes,yes,no,Bar,no,yes,"Continental, Vegetarian, American",NA,double bed,Budget Double Room,"₹ 1,220"
Hotel Amaltas International - Delhi-16,yes,"6, Green Park Main, (Opp. Sukhmani Hospital), 110092 New Delhi, India",205 reviews,6.5,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Deluxe Double or Twin Room,"₹ 3,610"
Bloomrooms @ New Delhi Railway Station,yes,"8591, Arakashan Road, Opp Railway Station, Paharganj, 110055 New Delhi, India",857 reviews,7.9,3 out of 5,Good,no,yes,no,NA,yes,yes,"Continental, Vegetarian",single bed,double bed,Value Queen Room,"₹ 4,100"
Ahuja Residency Sunder Nagar,yes,"3, Sunder Nagar, Sundar Nagar, 110003 New Delhi, India",151 reviews,7.7,3 out of 5,Good,no,yes,no,NA,yes,yes,"Asian, American",NA,double bed,Deluxe Double or Twin Room,"₹ 6,413"
"Hotel Yuvraj Deluxe-""Hygienic Hotel""",yes,"38 Arakashan Road Pahar Ganj, Paharganj, 110055 New Delhi, India",397 reviews,7.9,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Asian, American",single bed,double bed,Deluxe Double or Twin Room,"₹ 2,128"
Hotel Emporio Dx - New Delhi Railway Station - Paharganj,no,"33 Arakashan Road,ram nagar,pahar ganj new delhi new delhi, Paharganj, 110055 New Delhi, India",76 reviews,7.8,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Halal, American",NA,double bed,Deluxe Double Room,"₹ 1,770"
Hotel Hill Palace,yes,"14 A/ 32 Wea Channa Market Karol Bagh, Near Karol Bagh Metro Station, Karol bagh, 110005 New Delhi, India",8 reviews,5.6,3 out of 5,Passable,no,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Asian",single bed,double bed,Deluxe Room,"₹ 2,560"
