Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Homenets,yes,"35 Wharton Square, Scarborough, M1V 4M9 Toronto, Canada",23 reviews,6.4,4 out of 5,Pleasant,yes,no,no,NA,yes,no,NA,NA,double bed,Triple Room,"₹ 5,432"
Modern 2 Bedroom Apt - Heart Of Chinatown,yes,"Huron Street 60, M5T 2A5 Toronto, Canada",NA,NA,5 out of 5,NA,no,no,no,NA,yes,no,NA,NA,double bed,Apartment,"₹ 18,803"
Spacious private room near Finch station,yes,"10 Doverwood Court, North York, M2M 2G7 Toronto, Canada",11 reviews,8.9,4 out of 5,Fabulous,yes,yes,no,Bar,yes,no,NA,NA,double bed,Deluxe Double Room,"₹ 6,538"
Yonge and Finch Subway !U Spacious & Cozy Private Bdr with Shared Bathroom,yes,"208 Finch Avenue East, North York, M2N 4R9 Toronto, Canada",37 reviews,8.8,5 out of 5,Fabulous,no,yes,no,NA,no,no,NA,NA,double bed,Double Room,"₹ 4,439"
The Fairview,yes,"14 York Street, M5J 0B1 Toronto, Canada",24 reviews,6.6,4 out of 5,Pleasant,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Luxury Quadruple Room,"₹ 21,516"
Falstaff Home,yes,"117 Falstaff Avenue, M6L 2E5 Toronto, Canada",141 reviews,8.7,5 out of 5,Fabulous,no,no,no,NA,yes,no,NA,NA,double bed,Double Room,"₹ 4,932"
Deluxe Inn,yes,"1554 The Queensway, Etobicoke, M8Z 1T5 Toronto, Canada",969 reviews,6.4,4 out of 5,Pleasant,no,yes,no,NA,yes,no,NA,NA,double bed,Suite - Non-Smoking,"₹ 12,330"
Madison Manor Boutique Hotel,yes,"16 Madison Avenue, M5R 2S1 Toronto, Canada",506 reviews,6.7,4 out of 5,Pleasant,no,yes,no,Bar,yes,no,NA,single bed,double bed,King or Queen Room,"₹ 15,967"
The Leaside Garden Guesthouse,yes,"669 Eglinton Avenue East, M4G 2K3 Toronto, Canada",255 reviews,8.2,4 out of 5,Very good,yes,yes,no,NA,yes,no,NA,NA,double bed,Queen Room,"₹ 10,419"
Freeda's Place,yes,"24 DUNSANY CRESCENT, Etobicoke, M9R 3W6 Toronto, Canada",61 reviews,7.7,4 out of 5,Good,no,yes,no,NA,yes,no,NA,NA,double bed,Queen Room with Garden View,"₹ 5,980"
Modern 3BR Condo - Minutes From High Park,yes,"Bloor Street West 1553, M6P 1A5 Toronto, Canada",2 reviews,8.0,5 out of 5,Very good,yes,yes,no,NA,yes,no,NA,NA,double bed,Apartment,"₹ 26,386"
Sheraton Toronto Airport Hotel & Conference Centre,yes,"801 Dixon Road, Etobicoke, M9W 1J5 Toronto, Canada",603 reviews,7.9,4 out of 5,Good,no,yes,no,Bar,yes,yes,"Vegetarian, Gluten-free, American",NA,double bed,"Traditional, Guest room, 2 Queen","₹ 12,826"
The Westin Toronto Airport,yes,"950 Dixon Road, Etobicoke, M9W 5N4 Toronto, Canada",365 reviews,7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, American",NA,double bed,"Traditional, Guest room, 2 Double","₹ 14,734"
Metropolis Loft,yes,"20 John Street, M5V 0G5 Toronto, Canada",16 reviews,8.1,4 out of 5,Very good,no,no,no,NA,no,no,NA,NA,double bed,Apartment with Balcony,"₹ 19,395"
