Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Motel One Berlin-Tiergarten,yes,"An der Urania 12/14, Tempelhof-Schöneberg, 10787 Berlin, Germany","3,767 reviews",8.2,3 out of 5,Very good,no,yes,no,Bar,yes,yes,Continental,NA,double bed,Room with King Size bed,"₹ 10,518"
B&B Hotel Berlin City-Ost,yes,"Frankfurter Allee 57-59, Friedrichshain-Kreuzberg, 10247 Berlin, Germany","1,734 reviews",7.4,4 out of 5,Good,no,yes,no,NA,yes,yes,"Continental, Vegetarian",single bed,double bed,Double Room,"₹ 7,778"
Premier Inn Berlin Airport,yes,"2 Alexander-Meißner-Straße, Treptow-Köpenick, 12526 Berlin, Germany","1,415 reviews",8.8,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Full English/Irish, Vegetarian",single bed,double bed,Standard Double Room,"₹ 5,126"
Park Inn by Radisson Berlin Alexanderplatz,yes,"Alexanderplatz 7, Mitte, 10178 Berlin, Germany","19,642 reviews",7.4,4 out of 5,Good,no,yes,yes,Bar,yes,yes,"Continental, Italian, Full English/Irish, Vegetarian, Vegan, Gluten-free, American",single bed,double bed,Double Room,"₹ 11,137"
Scandic Berlin Potsdamer Platz,yes,"Gabriele-Tergit-Promenade 19, Mitte, 10963 Berlin, Germany","12,183 reviews",8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Double Room,"₹ 9,829"
B&B Hotel Berlin City-West,yes,"Brandenburgische Str. 11, Charlottenburg-Wilmersdorf, 10713 Berlin, Germany","2,087 reviews",7.1,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Double Room,"₹ 7,248"
MEININGER Hotel Berlin Hauptbahnhof,yes,"Ella-Trebe-Straße 9, Mitte, 10557 Berlin, Germany","12,654 reviews",7.4,3 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Twin Room,"₹ 6,894"
Eurostars Berlin,no,"Friedrichstr. 99, Mitte, 10117 Berlin, Germany","4,647 reviews",7.9,4 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Superior Double Room,"₹ 13,523"
Motel One Berlin-Bellevue,yes,"Paulstraße 21, Mitte, 10557 Berlin, Germany","3,268 reviews",8.2,3 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan",NA,double bed,Room with King Size bed,"₹ 10,518"
Motel One Berlin-Spittelmarkt,yes,"Leipziger Straße 50, Mitte, 10117 Berlin, Germany","3,801 reviews",8.7,1 out of 5,Fabulous,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan",NA,double bed,Room with Queen Size Bed,"₹ 11,402"
easyHotel Berlin Hackescher Markt,yes,"Rosenthaler Straße 69, Mitte, 10119 Berlin, Germany","7,652 reviews",7.7,3 out of 5,Good,no,yes,no,NA,yes,yes,NA,NA,double bed,Standard Double Room,"₹ 6,541"
Schlosshotel Berlin by Patrick Hellmann,yes,"Brahmsstr. 10, Charlottenburg-Wilmersdorf, 14193 Berlin, Germany",956 reviews,8.7,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, American, Buffet",NA,double bed,Deluxe Double Room,"₹ 22,185"
Hilton Berlin,yes,"Mohrenstr. 30, Mitte, 10117 Berlin, Germany","2,376 reviews",7.7,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan",single bed,double bed,Standard Twin Room,"₹ 16,313"
ibis Styles Berlin Treptow,yes,"Spreestr. 14, Treptow-Köpenick, 12439 Berlin, Germany","2,271 reviews",7.6,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free, American",single bed,double bed,Standard Double Room,"₹ 8,485"
Catalonia Berlin Mitte,yes,"Köpenicker Strasse, 80-82, Mitte, 10179 Berlin, Germany","3,694 reviews",8.3,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free, Buffet",single bed,double bed,Standard Double Room,"₹ 10,606"
Hotel AMANO Grand Central,yes,"Heidestrasse 62, Mitte, 10557 Berlin, Germany","8,848 reviews",8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double or Twin Room,"₹ 10,309"
Hotel AMANO Grand Central,yes,"Heidestrasse 62, Mitte, 10557 Berlin, Germany","8,848 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double or Twin Room,"₹ 10,309"
Motel One Berlin Ku'Damm,yes,"Kantstr. 7-11a, Charlottenburg-Wilmersdorf, 10623 Berlin, Germany","2,703 reviews",8.3,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan",NA,double bed,Room with Queen Size Bed,"₹ 11,402"
Hotel Palace Berlin,yes,"Budapester Str. 45, Charlottenburg-Wilmersdorf, 10787 Berlin, Germany","2,887 reviews",8.8,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, American",single bed,double bed,Business Double Room,"₹ 15,930"
Three Little Pigs Hostel - Your Berlin Castle,yes,"Stresemannstr. 66, Friedrichshain-Kreuzberg, 10963 Berlin, Germany","4,557 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free",single bed,double bed,Double Room with Shared Bathroom,"₹ 6,383"
Industriepalast Berlin,yes,"Warschauer Straße 43, Friedrichshain-Kreuzberg, 10243 Berlin, Germany","4,970 reviews",7.8,1 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free",single bed,double bed,Triple Room,"₹ 8,256"
aletto Hotel Kudamm,yes,"Hardenbergstr. 21, Charlottenburg-Wilmersdorf, 10623 Berlin, Germany","6,096 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Buffet",single bed,double bed,Double Room,"₹ 6,742"
Best Western Plus Plaza Berlin Kurfürstendamm,yes,"Kurfürstendamm 203, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany","4,181 reviews",7.8,5 out of 5,Good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Standard Double or Twin Room,"₹ 7,212"
Hotel Ludwig van Beethoven,yes,"Hasenheide 14, Friedrichshain-Kreuzberg, 10967 Berlin, Germany","2,864 reviews",8.3,4 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, Buffet",single bed,double bed,Double or Twin Room,"₹ 12,374"
Maritim proArte Hotel Berlin,yes,"Friedrichstraße 151, Mitte, 10117 Berlin, Germany","9,706 reviews",8.0,2 out of 5,Very good,yes,yes,yes,Bar,yes,yes,"Continental, Vegetarian",single bed,double bed,Double Standard,"₹ 11,192"
Novum Hotel Aldea Berlin Centrum,yes,"Bülowstr. 20-22, Tempelhof-Schöneberg, 10783 Berlin, Germany","8,538 reviews",7.1,4 out of 5,Good,yes,yes,no,NA,yes,yes,Vegetarian,single bed,NA,Standard Double or Twin Room,"₹ 6,519"
Hotel Atlantic,yes,"Zadekstr. 1a, Neukölln, 12351 Berlin, Germany","1,855 reviews",7.5,3 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Double Room,"₹ 4,861"
Mercure Hotel Berlin Tempelhof,yes,"Hermannstr. 214-216, Neukölln, 12049 Berlin, Germany","3,521 reviews",7.9,3 out of 5,Good,yes,yes,no,Bar,yes,yes,"Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Double Room,"₹ 10,076"
Schulz Hotel Berlin Wall at the East Side Gallery,yes,"Stralauer Platz 36, Friedrichshain-Kreuzberg, 10243 Berlin, Germany","19,197 reviews",8.4,5 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Italian, Full English/Irish, Vegetarian, Vegan, Gluten-free, Asian",single bed,double bed,Double or Twin Room,"₹ 8,927"
Steigenberger Hotel Am Kanzleramt,yes,"Ella-Trebe-Straße 5, Mitte, 10557 Berlin, Germany","6,310 reviews",8.6,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish, Vegetarian, Vegan, Gluten-free, Asian, American",single bed,double bed,Superior Double Room,"₹ 13,331"
Park Plaza Berlin,yes,"Lietzenburger Str. 85, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany","5,269 reviews",7.8,4 out of 5,Good,no,yes,no,NA,yes,yes,Continental,single bed,double bed,Superior Double Room,"₹ 9,634"
Leonardo Hotel Berlin Mitte,yes,"Bertolt Brecht Platz 4, Mitte, 10117 Berlin, Germany","12,280 reviews",8.1,1 out of 5,Very good,no,yes,no,Bar,yes,yes,Buffet,single bed,double bed,Comfort Room,"₹ 8,671"
H+ Hotel 4Youth,yes,"Bernauer Str. 45/46, Mitte, 10435 Berlin, Germany","3,986 reviews",7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free",single bed,double bed,Standard Room,"₹ 9,546"
Riu Plaza Berlin,yes,"Martin-Luther-Strasse 1, Tempelhof-Schöneberg, 10777 Berlin, Germany","16,441 reviews",8.3,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,single bed,double bed,Deluxe Double Room,"₹ 12,286"
Hampton By Hilton Berlin City East Side Gallery,yes,"Mildred-Harnack-Straße 15, Friedrichshain-Kreuzberg, 10243 Berlin, Germany","5,144 reviews",8.5,3 out of 5,Very good,no,yes,no,Bar,yes,yes,"Continental, American, Buffet",single bed,double bed,Queen Room,"₹ 12,286"
Hampton by Hilton Berlin City Centre Alexanderplatz,yes,"Otto-Braun-Straße 69   , Mitte,  10178 Berlin, Germany","13,109 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, American",single bed,double bed,Queen Room with Garden View,"₹ 13,847"
BlnCty Hotel,yes,"Gertrud-Kolmar-Straße 5, Mitte, 10117 Berlin, Germany","2,182 reviews",7.7,5 out of 5,Good,yes,yes,no,Bar,yes,no,NA,single bed,NA,Comfort Twin Room,"₹ 6,629"
JW Marriott Hotel Berlin,yes,"Stauffenbergstr. 26, Mitte, 10785 Berlin, Germany","1,722 reviews",8.1,4 out of 5,Very good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free, American",single bed,double bed,"Classic, Guest room, 1 King","₹ 13,170"
