Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
Melbourne Metropole Central,yes,"44 Brunswick Street, Fitzroy, 3065 Melbourne, Australia","1,676 reviews",7.7,4.5 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio,"₹ 9,049"
Saint Kilda Beach Hotel - formerly Rydges St Kilda,yes,"35-37 Fitzroy Street, 3182 Melbourne, Australia","1,799 reviews",7.1,4.5 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Gluten-free",single bed,double bed,Superior Queen Room,"₹ 9,054"
Selina Central Melbourne,yes,"250 Flinders St, Melbourne Victoria, 3000 Melbourne, Australia",603 reviews,8.3,3.5 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,NA,double bed,Double Room with Shared Bathroom,"₹ 6,777"
Rooftop Pool 2BR Apt #FreeParking @ Marvel Stadium,yes,"673 La Trobe Street 1415, Docklands, 3008 Melbourne, Australia",NA,10,5 out of 5,Host review score,no,no,no,NA,yes,yes,NA,NA,double bed,Two-Bedroom Apartment,"₹ 12,537"
Collingwood Studio Hideaway,yes,"40 Stanley Street, Collingwood, 3066 Melbourne, Australia",2 reviews,8.0,3 out of 5,Very good,no,no,no,NA,yes,yes,NA,NA,double bed,Studio,"₹ 11,332"
Adara Richmond,yes,"185 Lennox Street , Richmond, 3121 Melbourne, Australia","1,888 reviews",8.2,4 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,NA,double bed,Studio Apartment,"₹ 9,644"
Park Regis Griffin Suites,yes,"604 St. Kilda Road, 3004 Melbourne, Australia",958 reviews,7.9,4 out of 5,Good,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Studio King or Twin Room,"₹ 6,965"
Seasons Botanic Gardens,yes,"348 St Kilda Road , 3004 Melbourne, Australia","1,086 reviews",7.6,4.5 out of 5,Good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio Apartment,"₹ 9,111"
The Sebel Melbourne Moonee Ponds,yes,"41 Homer Street, 3039 Melbourne, Australia",730 reviews,8.9,4 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,One-Bedroom Apartment with Queen Bed and Balcony,"₹ 11,680"
Space Hotel,yes,"380 Russell Street, 3000 Melbourne, Australia","1,841 reviews",8.1,4 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Double Room with Shared Bathroom,"₹ 7,447"
The Hotel Windsor,yes,"111 Spring Street, 3000 Melbourne, Australia","2,209 reviews",8.0,4 out of 5,Very good,yes,yes,yes,Bar,yes,yes,Full English/Irish,single bed,double bed,Traditional Queen Room,"₹ 13,770"
Arrow on Swanston,yes,"488 Swanston Street, Carlton, 3053 Melbourne, Australia","3,913 reviews",5.6,4 out of 5,Passable,yes,yes,no,Bar,yes,yes,NA,single bed,double bed,Standard Studio,"₹ 4,968"
Element Melbourne Richmond,yes,"588 Swan Street, Richmond, VIC, 3121, Australia, 3121 Melbourne, Australia",939 reviews,8.6,5 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, American",NA,double bed,King Room,"₹ 10,662"
Apartments of South Yarra,yes,"46 Arthur Street, South Yarra, 3141 Melbourne, Australia",453 reviews,8.2,5 out of 5,Very good,no,yes,no,NA,yes,no,NA,single bed,double bed,One-Bedroom Apartment,"₹ 10,132"
The Nunnery Accommodation,yes,"116 Nicholson Street Fitzroy, Fitzroy, 3065 Melbourne, Australia",529 reviews,7.3,4 out of 5,Good,yes,yes,no,NA,yes,no,NA,single bed,double bed,Budget Twin Room with Shared Bathroom,"₹ 8,037"
Adina Apartment Hotel Melbourne,yes,"189 Queen Street, 3000 Melbourne, Australia","1,339 reviews",8.4,3 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Studio,"₹ 11,530"
"Kimberley Gardens Hotel, Serviced Apartments and Serviced Villas",yes,"441 Inkerman Street,, 3183 Melbourne, Australia",992 reviews,8.2,4.5 out of 5,Very good,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Superior Queen Room,"₹ 7,956"
City Edge North Melbourne Apartment Hotel,yes,"188 Peel Street, North Melbourne, 3051 Melbourne, Australia","1,261 reviews",7.4,4.5 out of 5,Good,no,yes,no,NA,yes,yes,NA,single bed,double bed,Deluxe Twin Studio,"₹ 9,632"
"Hotel Indigo Melbourne on Flinders, an IHG Hotel",yes,"575 Flinders Lane, 3000 Melbourne, Australia",6 reviews,7.8,4 out of 5,Good,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Vegan, Gluten-free, American",single bed,double bed,Standard King Room,"₹ 11,524"
Courtyard by Marriott Melbourne Flagstaff Gardens,yes,"50 Batman Street, West Melbourne, 3003 Melbourne, Australia",533 reviews,8.8,4.5 out of 5,Fabulous,yes,yes,yes,Bar,yes,yes,Continental,NA,double bed,Premium King Room,"₹ 12,323"
Meriton Suites King Street Melbourne,yes,"140 King Street, 3000 Melbourne, Australia",NA,NA,3 out of 5,NA,yes,yes,no,NA,yes,yes,NA,single bed,double bed,Mini Studio,"₹ 11,251"
Crown Towers Melbourne,yes,"8 Whiteman Street, Southbank, 3006 Melbourne, Australia","4,787 reviews",8.9,3 out of 5,Fabulous,yes,yes,no,Bar,yes,yes,"Continental, Full English/Irish",NA,double bed,Premier King Room,"₹ 24,592"
